Gene	Condition	Region	Group	mean_logCPM
SLC8A1	LA_AF	LA	AF	9.17566171210827
SLC8A1	LA_Control	LA	Control	9.32810195098783
SLC8A1	LV_AF	LV	AF	9.23458594806137
SLC8A1	LV_Control	LV	Control	9.39455210049056
SLC8A1	RA_AF	RA	AF	9.26353812218084
SLC8A1	RA_Control	RA	Control	9.49495916940106
SLC8A1	RV_AF	RV	AF	9.44713347555299
SLC8A1	RV_Control	RV	Control	9.57176732583758
SLC8A3	LA_AF	LA	AF	3.48498237730855
SLC8A3	LA_Control	LA	Control	2.81287590090742
SLC8A3	LV_AF	LV	AF	1.51597999028411
SLC8A3	LV_Control	LV	Control	1.93167567002825
SLC8A3	RA_AF	RA	AF	3.33675234748947
SLC8A3	RA_Control	RA	Control	3.27800241432613
SLC8A3	RV_AF	RV	AF	1.42407594781484
SLC8A3	RV_Control	RV	Control	0.621557894766436
TRPC1	LA_AF	LA	AF	1.97768569025785
TRPC1	LA_Control	LA	Control	2.28623277705797
TRPC1	LV_AF	LV	AF	1.88913197263473
TRPC1	LV_Control	LV	Control	2.01583728631547
TRPC1	RA_AF	RA	AF	1.73880205182735
TRPC1	RA_Control	RA	Control	2.24759262194832
TRPC1	RV_AF	RV	AF	1.65814044649277
TRPC1	RV_Control	RV	Control	1.95748048534088
TRPM4	LA_AF	LA	AF	3.57012926169622
TRPM4	LA_Control	LA	Control	3.56982741130256
TRPM4	LV_AF	LV	AF	3.50626668695268
TRPM4	LV_Control	LV	Control	3.24485360166825
TRPM4	RA_AF	RA	AF	3.5767134641022
TRPM4	RA_Control	RA	Control	3.636761745061
TRPM4	RV_AF	RV	AF	3.17324309999463
TRPM4	RV_Control	RV	Control	2.98701927262081
TRPM7	LA_AF	LA	AF	4.90900698592272
TRPM7	LA_Control	LA	Control	5.28663236182152
TRPM7	LV_AF	LV	AF	5.34161875313483
TRPM7	LV_Control	LV	Control	5.51275756690454
TRPM7	RA_AF	RA	AF	5.11662549956361
TRPM7	RA_Control	RA	Control	5.41968659558384
TRPM7	RV_AF	RV	AF	5.29141915108718
TRPM7	RV_Control	RV	Control	5.59769643530438
TRPV2	LA_AF	LA	AF	2.59726319273915
TRPV2	LA_Control	LA	Control	3.12763453429587
TRPV2	LV_AF	LV	AF	3.52670605239629
TRPV2	LV_Control	LV	Control	3.27635721411306
TRPV2	RA_AF	RA	AF	2.86874841966744
TRPV2	RA_Control	RA	Control	3.18116831377046
TRPV2	RV_AF	RV	AF	3.34505080335842
TRPV2	RV_Control	RV	Control	3.19296639237283
