"GENENAME","ENSEMBL","ENSEMBL.1","PC1","PC2","PC3","PC4","PC5"
"EDRF1","ENSECAG00000000346","ENSECAG00000000346",-0.00317333619421389,-0.000339849805309012,-0.00717423977482428,0.00985641014327513,0.00335144621757343
"EIF2AK4","ENSECAG00000000348","ENSECAG00000000348",-0.00348126480432967,0.00898315648555795,-0.00633627660138343,-0.00281380476251582,0.00663279285769354
"IKBKE","ENSECAG00000000352","ENSECAG00000000352",-0.0025510424183445,-0.00328701412606425,0.00749788219245067,-0.0038648657206175,-0.00822284635599077
"PLK2","ENSECAG00000000354","ENSECAG00000000354",0.00196384567783237,0.00635662284925854,-0.0061410561288288,-0.00161693489325159,0.00367298782068084
"PALS1","ENSECAG00000000356","ENSECAG00000000356",-0.00606813610183707,0.0110188942095396,-0.0116683100708239,-0.0130391075065085,0.00063932995981139
"DOCK10","ENSECAG00000000357","ENSECAG00000000357",0.00142107394841522,0.00447391730851738,-0.00637886544271408,0.012837197204423,-0.0197238668407355
"MARK4","ENSECAG00000000359","ENSECAG00000000359",0.00536881620968656,-0.00535403891933953,0.00650611343215446,0.00212664007602314,0.00102082947476121
"HEATR3","ENSECAG00000000361","ENSECAG00000000361",0.00318558913502903,0.000157497823852477,0.00151422323447722,-0.00271439475941282,0.00513665818548305
"STXBP5","ENSECAG00000000362","ENSECAG00000000362",-0.00649906422746283,0.00194329607630075,-0.00971312119950386,-0.00855942700426797,-0.006471664458558
"PIN4","ENSECAG00000000364","ENSECAG00000000364",0.0032925695221235,-0.0065407094611113,0.00896020656769488,0.0045869863561195,0.00177743797350489
"PCNX4","ENSECAG00000000365","ENSECAG00000000365",-0.00589341593035106,0.00405759536791746,-0.00771673945672363,0.00145626157878286,0.00475964461782873
"HEXD","ENSECAG00000000366","ENSECAG00000000366",0.00759577473839475,0.00451274101590103,0.00743624200867133,0.00127842728523677,-0.00105949982273716
"RFC2","ENSECAG00000000367","ENSECAG00000000367",-0.0033381907019415,-0.0096320003671687,0.00771684209831756,0.00765634410815992,0.00690183177850292
"CERS4","ENSECAG00000000369","ENSECAG00000000369",0.00179738317548472,0.00138148333468113,0.000594806354815593,-0.00370056133629175,-0.00421197451091704
